Generation,Best Fitness,Position X,Position Y
238,3024.152627430378,11485,84040
239,3024.152627430378,11485,84040
240,3024.152627430378,11485,84040
241,3024.152627430378,11485,84040
242,3024.152627430378,11485,84040
243,3024.152627430378,11485,84040
244,3024.152627430378,11485,84040
245,3024.152627430378,11485,84040
246,3024.152627430378,11485,84040
247,3024.152627430378,11485,84040
248,3024.152627430378,11485,84040
249,3024.152627430378,11485,84040
250,3024.152627430378,11485,84040
251,3024.152627430378,11485,84040
252,3024.152627430378,11485,84040
253,3024.152627430378,11485,84040
254,3024.152627430378,11485,84040
255,3024.152627430378,11485,84040
256,3024.152627430378,11485,84040
257,3024.152627430378,11485,84040
258,3024.152627430378,11485,84040
259,3024.152627430378,11485,84040
260,3024.152627430378,11485,84040
261,3024.152627430378,11485,84040
262,3026.602620545078,11495,84525
263,3024.152627430378,11485,84040
264,3024.152627430378,11485,84040
265,3024.152627430378,11485,84040
266,3024.152627430378,11485,84040
267,3024.152627430378,11485,84040
268,3026.602620545078,11495,84525
269,3024.152627430378,11485,84040
270,3024.152627430378,11485,84040
271,3024.152627430378,11485,84040
272,3024.152627430378,11485,84040
273,3024.152627430378,11485,84040
274,3024.152627430378,11485,84040
275,3024.152627430378,11485,84040
276,3024.152627430378,11485,84040
277,3024.152627430378,11485,84040
278,3024.152627430378,11485,84040
279,3024.152627430378,11485,84040
280,3024.152627430378,11485,84040
281,3024.152627430378,11485,84040
282,3024.152627430378,11485,84040
283,3026.1026274303777,11485,84040
284,3024.152627430378,11485,84040
285,3020.3526553372326,11445,82115
286,3020.3526553372326,11445,82115
287,3020.3526553372326,11445,82115
288,3020.3526553372326,11445,82115
289,3034.4525733401997,11565,87957
290,3020.3526553372326,11445,82115
291,3020.3526553372326,11445,82115
292,3020.3526553372326,11445,82115
293,3020.3526553372326,11445,82115
294,3020.3526553372326,11445,82115
295,3020.3526553372326,11445,82115
296,3020.3526553372326,11445,82115
297,3020.3526553372326,11445,82115
298,3020.3526553372326,11445,82115
299,3020.3526553372326,11445,82115
300,3020.3526553372326,11445,82115
301,3020.3526553372326,11445,82115
302,3020.3526553372326,11445,82115
303,3020.3526553372326,11445,82115
304,3020.3526553372326,11445,82115
305,3024.152627430378,11485,84040
306,3024.152627430378,11485,84040
307,3024.152627430378,11485,84040
308,3024.152627430378,11485,84040
309,3024.152627430378,11485,84040
310,3024.152627430378,11485,84040
311,3024.152627430378,11485,84040
312,3024.152627430378,11485,84040
313,3024.152627430378,11485,84040
314,3024.152627430378,11485,84040
315,3024.152627430378,11485,84040
316,3024.152627430378,11485,84040
317,3024.152627430378,11485,84040
318,3024.152627430378,11485,84040
319,3024.152627430378,11485,84040
320,3024.152627430378,11485,84040
321,3026.602620545078,11495,84525
322,3024.152627430378,11485,84040
323,3024.152627430378,11485,84040
324,3024.152627430378,11485,84040
325,3024.152627430378,11485,84040
326,3024.152627430378,11485,84040
327,3024.152627430378,11485,84040
328,3024.152627430378,11485,84040
329,3024.152627430378,11485,84040
330,3024.152627430378,11485,84040
331,3024.152627430378,11485,84040
332,3024.152627430378,11485,84040
333,3024.152627430378,11485,84040
334,3024.152627430378,11485,84040
335,3024.152627430378,11485,84040
336,3024.152627430378,11485,84040
337,3024.152627430378,11485,84040
338,3024.152627430378,11485,84040
339,3024.152627430378,11485,84040
340,3024.152627430378,11485,84040
341,3024.152627430378,11485,84040
342,3024.3026274303775,11485,77832
343,3024.3026274303775,11485,77832
344,3024.902627430378,11485,77832
345,3024.152627430378,11485,84040
346,3024.152627430378,11485,84040
347,3023.652634351954,11475,83556
348,3020.2026553372325,11445,82115
349,3020.2026553372325,11445,82115
350,3020.2026553372325,11445,82115
351,3020.2026553372325,11445,82115
352,3020.2026553372325,11445,82115
353,3020.2026553372325,11445,82115
354,3020.2026553372325,11445,82115
355,3020.2026553372325,11445,82115
356,3023.652634351954,11475,83556
357,3023.652634351954,11475,83556
358,3023.652634351954,11475,83556
359,3023.652634351954,11475,83556
360,3023.652634351954,11475,83556
361,3023.652634351954,11475,83556
362,3023.652634351954,11475,83556
363,3023.652634351954,11475,83556
364,3023.652634351954,11475,83556
365,3023.652634351954,11475,83556
366,3023.652634351954,11475,83556
367,3023.652634351954,11475,83556
368,3023.652634351954,11475,83556
369,3024.902627430378,11485,77832
370,3023.652634351954,11475,83556
371,3023.652634351954,11475,83556
372,3023.652634351954,11475,83556
373,3023.652634351954,11475,83556
374,3023.652634351954,11475,83556
375,3023.652634351954,11475,83556
376,3023.652634351954,11475,83556
377,3023.652634351954,11475,83556
378,3023.652634351954,11475,83556
379,3023.652634351954,11475,83556
380,3023.652634351954,11475,83556
381,3023.652634351954,11475,83556
382,3023.652634351954,11475,83556
383,3023.652634351954,11475,83556
384,3023.652634351954,11475,83556
385,3023.652634351954,11475,83556
386,3023.652634351954,11475,83556
387,3023.652634351954,11475,83556
388,3023.652634351954,11475,83556
389,3023.652634351954,11475,83556
390,3023.652634351954,11475,83556
391,3023.652634351954,11475,83556
392,3023.652634351954,11475,83556
393,3023.652634351954,11475,83556
394,3023.652634351954,11475,83556
395,3023.652634351954,11475,83556
396,3023.652634351954,11475,83556
397,3023.652634351954,11475,83556
398,3023.652634351954,11475,83556
399,3023.652634351954,11475,83556
400,3023.652634351954,11475,83556
401,3023.652634351954,11475,83556
402,3023.652634351954,11475,83556
403,3023.652634351954,11475,83556
404,3023.652634351954,11475,83556
405,3023.652634351954,11475,83556
406,3023.652634351954,11475,83556
407,3046.5025150905476,11655,92472
